class,feature,weight
Negative,غزهتحتالقصف,10.198787989433825
Negative,قصف,10.033990397288695
Negative,قتل,7.443969634068694
Negative,للاسف,6.7678093690263195
Negative,لعنه,6.692660014304337
Negative,غزهتحتالقصفالقدستنتفض,6.562678242680438
Negative,غزهمقبرهالغزاه,6.5064020853516595
Negative,جراء,6.454154359447651
Negative,كذب,6.220361172962493
Negative,دمر,6.216240168101462
Negative,غزهالان,6.18102302148258
Negative,القصف,6.133539217275865
Negative,غبي,6.064864844482286
Negative,اسوء,5.99581248726325
Negative,يلعن,5.987402248747179
Neutral,عاجل,8.264452930733238
Neutral,من,4.491744320585347
Neutral,حدد,3.620286086978941
Neutral,لبحث,3.5998199024652417
Neutral,غدا,3.4850951745596634
Neutral,يلتقي,3.472525147250488
Neutral,في,3.4248797592554716
Neutral,عن,3.2664439859647545
Neutral,حول,3.25882911614098
Neutral,شرح,3.192748275711592
Neutral,موعد,3.154640389284628
Neutral,وفد,3.0523091143730956
Neutral,ان,3.0449727936317883
Neutral,تعلن,2.9747700970702042
Neutral,بحث,2.9232724648638166
Positive,شكر,8.180763330732466
Positive,تحيه,8.150511817652337
Positive,اجمل,7.397197428242353
Positive,يارب,7.329575762866082
Positive,بحب,7.012560580518204
Positive,يسعد,6.987055025564034
Positive,رايع,6.521633095823837
Positive,شكرا,6.276727231449816
Positive,فخور,6.13441891303816
Positive,بحس,5.8736659386368
Positive,الشكر,5.863726720450082
Positive,بفضل,5.857054926728382
Positive,الفخر,5.601937226745101
Positive,وفخر,5.454650868325715
Positive,رايعه,5.44343553766474
